Brand,Price,Condition,Currency
Vionic,119.95,new,USD
Reebok,100.00,new,USD
New Balance,19.99,new,USD
Wishpets,48.06,new,USD
Wishpets,41.32,new,USD
ROCK & CANDY,33.79,new,USD
BCBG Max Azria,195.00,new,USD
Brinley Co.,34.99,new,USD
XOXO,20.00,new,USD
PleaserUSA,28.73,new,USD
Bamboo,40.00,new,USD
Klogs,119.95,new,USD
Charles By Charles David,49.98,new,USD
Josef Seibel,77.99,new,USD
Bar III,52.99,new,USD
Bulk Buys,33.59,new,USD
Bulk Buys,49.76,new,USD
Bulk Buys,36.82,new,USD
Vince Camuto,68.99,new,USD
Breckelle's,45.99,new,USD
Miz Mooz,219.95,new,USD
Ivanka Trump,69.99,new,USD
Lauren Ralph Lauren,21.93,new,USD
Klogs,59.95,new,USD
Caparros,19.97,new,USD
Caparros,89.00,new,USD
GUESS,225.00,new,USD
Alfani,60.00,new,USD
Nike,77.58,new,USD
Easy Spirit,36.59,new,USD
Nine West,69.00,new,USD
New Balance,85.00,new,USD
New Balance,28.99,new,USD
New Balance,49.99,new,USD
Pleaser Shoes,32.95,new,USD
Pleaser Shoes,46.00,new,USD
Converse,60.00,new,USD
Dolce & Gabbana,595.00,new,USD
Piranha,14.97,New,USD
Piranha,21.12,new,USD
SHOES FOR CREWS,48.42,new,USD
SHOES FOR CREWS,48.42,new,USD
SHOES FOR CREWS,49.15,new,USD
Alfani,36.59,new,USD
DAWGS,14.99,new,USD
DAWGS,23.99,new,USD
Caparros,79.00,new,USD
Nina,100.00,new,USD
Mizuno,120.00,new,USD
Blowfish,39.00,new,USD
Dan Post,131.00,new,USD
TOMS,93.50,new,USD
Touch Ups,38.14,new,USD
Smiffy's,21.99,New with tags,USD
Smiffy's,21.99,New with tags,USD
Le Suit,59.99,New with tags,USD
CIRCA JOAN & DAVID,99.00,new,USD
G BY GUESS,33.54,new,USD
G BY GUESS,32.59,new,USD
Unique Bargains,41.99,new,USD
Caterpillar,67.19,new,USD
Caterpillar,80.30,new,USD
Cherokee,25.00,New with tags,USD
Franco Sarto,99.00,new,USD
Vito Rossi,60.00,new,USD
"Halloween Resource Center, Inc.",36.39,New with tags,USD
Anself,2.21,New without tags,USD
Anself,2.23,New without tags,USD
Anself,2.27,New without tags,USD
G Antini,36.99,new,USD
adidas,60.00,New without box,USD
TOMS,118.95,new,USD
Allegra K,55.99,new,USD
Mo Mo,26.25,new,USD
Bar III,99.00,new,USD
Tretorn,85.00,new,USD
Delman,398.00,new,USD
Dolce Vita,27.99,New with box,USD
Ellie,70.00,new,USD
Elliott Lucca,28.95,New with box,USD
Sam Edelman,32.99,new,USD
Sam Edelman,60.00,new,USD
Splendid,49.00,new,USD
Circa Joan & David,46.99,new,USD
Adrienne Vittadini,95.00,new,USD
PleaserUSA,46.99,new,USD
Qupid,30.00,new,USD
Tommy Hilfiger,89.99,New with box,USD
Enzo Angiolini,70.00,new,USD
Nike,214.99,New with box,USD
Nina,168.00,new,USD
Fabrication Enterprises,18.98,new,USD
Lamo Sheepskin Inc,31.99,new,USD
Lamo Sheepskin Inc,28.99,new,USD
J. Renee,90.00,new,USD
Call It Spring,70.00,new,USD
Gold Toe,15.99,new,USD
Splendid,248.00,new,USD
GUESS,50.59,new,USD
Celebrity Pink,7.50,New with tags,USD
UGG Australia,45.99,New with box,USD
SummitFashions,85.46,new,USD
Brinley Co.,49.99,new,USD
Bar III,89.00,new,USD
Reebok,51.99,new,USD
Reebok,79.99,new,USD
Enzo Angiolini,99.00,new,USD
Nike,80.00,new,USD
Alfani,79.00,new,USD
Mizuno,110.00,new,USD
Dolce Vita,135.00,new,USD
Herve Leger,995.00,new,USD
MUK LUKS,27.00,new,USD
MUK LUKS,22.20,new,USD
Coach,44.19,new,USD
UGG Australia,184.95,New with box,USD
All Black,145.00,new,USD
VANS,28.99,new,USD
Pleaser Shoes,28.95,new,USD
Pleaser Shoes,41.00,new,USD
Nautica,45.00,new,USD
MICHAEL Michael Kors,51.97,new,USD
Charles David,73.38,new,USD
Michael Michael Kors,99.99,New with box,USD
SummitFashions,54.99,new,USD
Olivia Miller,19.43,new,USD
Sebago,130.00,new,USD
Michael Kors,75.39,new,USD
Mizuno,124.60,new,USD
Nina,89.00,new,USD
Luichiny,65.00,new,USD
Dolce Vita,49.95,new,USD
Caterpillar,160.00,new,USD
Nike,129.99,new,USD
Drew Shoe,132.95,new,USD
ELLIE SHOES,86.92,new,USD
Nike,69.99,new,USD
Dr. Scholl's,29.99,new,USD
Lauren Ralph Lauren,69.00,new,USD
Lucky Brand,26.99,new,USD
Lucky Brand,89.00,new,USD
Marc Fisher,59.00,new,USD
Michael Antonio,65.00,new,USD
Blue-Q,16.95,New with tags,USD
TOMS,48.00,new,USD
TOMS,63.09,new,USD
Vasque,83.99,new,USD
PleaserUSA,95.00,new,USD
VANS,65.00,new,USD
Lane,590.00,new,USD
Summit Fashions,89.95,new,USD
Lauren Ralph Lauren,97.02,new,USD
New Balance,209.39,new,USD
Nike,130.00,new,USD
Keds,32.19,new,USD
DV by Dolce Vita,47.02,new,USD
Vince Camuto,89.00,new,USD
Soda,32.99,new,USD
MUK LUKS,35.81,new,USD
Olivia Miller,39.99,new,USD
EASY SPIRIT E360,80.00,new,USD
Nine West,69.00,new,USD
Michael Antonio,34.99,new,USD
PleaserUSA,49.95,new,USD
Miss Me,33.40,New with tags,USD
VANS,64.99,new,USD
Carrini,38.88,new,USD
r.b.l.s.,80.00,new,USD
Billabong,44.95,new,USD
Aerosoles,29.49,new,USD
Gameday Boots,119.00,new,USD
Marc Fisher,39.00,new,USD
PLEASER,49.99,new,USD
Touch Ups,55.80,new,USD
SKECHERS,74.85,new,USD
Jack Rogers,132.00,new,USD
Miraclesuit,46.00,New with tags,USD
NORIKO,119.00,New with tags,USD
New Balance,75.00,new,USD
Coach,275.00,new,USD
G BY GUESS,39.79,new,USD
DAWGS,7.99,new,USD
Two Lips,75.00,new,USD
G BY GUESS,89.00,new,USD
Leg Avenue,64.99,new,USD
Leg Avenue,49.95,new,USD
Leg Avenue,51.90,New with tags,USD
"Halloween Resource Center, Inc.",33.49,New with tags,USD
"Halloween Resource Center, Inc.",39.49,New with tags,USD
"Halloween Resource Center, Inc.",38.59,New with tags,USD
Timex,39.92,new,USD
TOMS,83.67,new,USD
Cudas,59.00,new,USD
Australia Luxe,152.99,new,USD
PleaserUSA,42.51,new,USD
Anita,8.49,New with tags,USD
Maker's Shoes,39.99,new,USD
Pelle Moda,190.00,new,USD
PUMA,100.00,new,USD
Wanted,59.95,new,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Ralph Lauren,525.00,New,USD
Biondini,63.88,new,USD
Calvin Klein,64.48,New with box,USD
BCBG Max Azria,750.00,New with tags,USD
Ugg Australia,195.00,new,USD
TOMS,53.46,new,USD
Circa Joan & David,47.04,new,USD
Alfani,79.99,new,USD
Reef,59.99,New without box,USD
SoftWalk,119.95,new,USD
TOMS,34.49,new,USD
TOMS,35.93,new,USD
Qupid,12.99,new,USD
M by Marinelli,109.00,new,USD
SKECHERS,94.00,new,USD
